#bf edge,        n_deaths,        n_detachments,   n_immigrations,  n_replications   
0,               2773,            7802,            3475,            7130             
0,               2735,            793,             3409,            115              
0,               2840,            795,             3539,            97               
0,               2708,            748,             3370,            88               
0,               2815,            4955,            3559,            4232             
0,               2837,            667,             3484,            19               
0,               2718,            865,             3424,            157              
0,               2864,            762,             3543,            80               
0,               2750,            839,             3468,            116              
0,               2745,            743,             3442,            44               
0,               2766,            959,             3461,            265              
0,               2720,            822,             3414,            126              
0,               2787,            960,             3463,            280              
0,               2796,            1150,            3532,            411              
0,               2783,            745,             3448,            76               
0,               2759,            1178,            3463,            469              
0,               2809,            793,             3534,            66               
0,               2770,            1204,            3494,            476              
0,               2727,            790,             3430,            85               
0,               2744,            734,             3448,            29               
0,               2706,            905,             3413,            197              
0,               2748,            842,             3466,            119              
0,               2754,            746,             3440,            62               
0,               2745,            1338,            3433,            650              
0,               2883,            769,             3564,            86               
0,               2833,            927,             3497,            262              
0,               2739,            721,             3443,            14               
0,               2864,            1334,            3610,            583              
0,               2839,            947,             3519,            268              
0,               2817,            730,             3507,            37               
0,               2845,            734,             3523,            57               
0,               2793,            755,             3454,            94               
0,               2745,            735,             3413,            63               
0,               2831,            807,             3506,            134              
0,               2828,            928,             3552,            200              
0,               2842,            760,             3525,            75               
0,               2759,            761,             3461,            58               
0,               2798,            2755,            3483,            2078             
0,               2776,            691,             3443,            23               
0,               2792,            963,             3488,            266              
0,               2817,            862,             3527,            151              
0,               2795,            756,             3489,            61               
0,               2757,            818,             3480,            91               
0,               2691,            799,             3401,            87               
0,               2850,            748,             3548,            49               
0,               2708,            723,             3394,            32               
0,               2767,            917,             3462,            219              
0,               2700,            769,             3428,            37               
0,               2800,            810,             3558,            51               
0,               2793,            750,             3468,            73               
0,               2720,            962,             3415,            267              
0,               2721,            925,             3428,            218              
0,               2745,            913,             3453,            202              
0,               2715,            989,             3449,            252              
0,               2653,            824,             3352,            127              
0,               2728,            2927,            3425,            2246             
0,               2753,            4598,            3479,            3894             
0,               2732,            775,             3448,            58               
0,               2773,            831,             3480,            122              
0,               2712,            1187,            3425,            473              
0,               2730,            714,             3369,            70               
0,               2787,            707,             3457,            33               
0,               2734,            893,             3441,            188              
0,               2701,            680,             3354,            28               
0,               2775,            782,             3490,            66               
0,               2745,            799,             3437,            104              
0,               2707,            925,             3462,            167              
0,               2728,            974,             3458,            242              
0,               2834,            747,             3519,            63               
0,               2810,            728,             3470,            66               
0,               2839,            748,             3524,            58               
0,               2730,            750,             3441,            39               
0,               2784,            3721,            3420,            3114             
0,               2754,            2874,            3479,            2171             
0,               2806,            732,             3469,            67               
0,               2873,            981,             3562,            290              
0,               2683,            949,             3419,            211              
0,               2767,            917,             3527,            156              
0,               2822,            960,             3497,            282              
0,               2820,            865,             3510,            172              
0,               2823,            791,             3502,            110              
0,               2742,            756,             3407,            87               
0,               2865,            900,             3619,            145              
0,               2645,            756,             3338,            61               
0,               2838,            800,             3531,            114              
0,               2744,            789,             3390,            139              
0,               2764,            719,             3442,            37               
0,               2687,            880,             3385,            179              
0,               2744,            740,             3408,            77               
0,               2679,            1262,            3442,            497              
0,               2736,            2832,            3431,            2156             
0,               2787,            940,             3529,            195              
0,               2746,            982,             3483,            249              
0,               2792,            863,             3507,            145              
0,               2828,            811,             3563,            73               
0,               2751,            781,             3458,            74               
0,               2842,            1687,            3503,            1024             
