#bf edge,        n_deaths,        n_detachments,   n_immigrations,  n_replications   
0,               2805,            800,             3549,            52               
0,               2711,            7558,            3363,            6947             
0,               2744,            709,             3412,            36               
0,               2759,            5369,            3510,            4634             
0,               2711,            789,             3364,            145              
0,               2773,            1837,            3461,            1147             
0,               2747,            704,             3410,            40               
0,               2819,            5605,            3483,            4958             
0,               2708,            864,             3389,            180              
0,               2679,            837,             3379,            136              
0,               2665,            800,             3407,            55               
0,               2817,            748,             3517,            51               
0,               2807,            878,             3532,            151              
0,               2730,            1042,            3414,            353              
0,               2703,            912,             3434,            180              
0,               2794,            880,             3528,            143              
0,               2765,            1163,            3468,            462              
0,               2731,            917,             3422,            225              
0,               2795,            868,             3494,            167              
0,               2767,            824,             3491,            99               
0,               2730,            1523,            3427,            823              
0,               2785,            729,             3485,            26               
0,               2804,            5693,            3518,            5005             
0,               2771,            905,             3508,            163              
0,               2881,            810,             3577,            111              
0,               2702,            797,             3431,            67               
0,               2796,            2305,            3481,            1640             
0,               2822,            839,             3555,            101              
0,               2934,            818,             3608,            141              
0,               2829,            1344,            3550,            621              
0,               2726,            829,             3411,            142              
0,               2780,            1116,            3484,            410              
0,               2877,            1044,            3537,            385              
0,               2752,            954,             3447,            256              
0,               2749,            766,             3470,            45               
0,               2770,            1049,            3506,            309              
0,               2729,            973,             3448,            252              
0,               2781,            787,             3482,            86               
0,               2847,            816,             3582,            78               
0,               2831,            926,             3562,            190              
0,               2848,            1023,            3600,            269              
0,               2835,            2870,            3520,            2207             
0,               2794,            1257,            3477,            576              
0,               2748,            4814,            3415,            4161             
0,               2752,            906,             3482,            176              
0,               2838,            736,             3535,            38               
0,               2796,            749,             3497,            44               
0,               2772,            791,             3530,            30               
0,               2767,            1287,            3500,            553              
0,               2654,            750,             3342,            59               
0,               2803,            777,             3521,            57               
0,               2793,            888,             3495,            186              
0,               2731,            2433,            3407,            1779             
0,               2792,            873,             3490,            171              
0,               2709,            682,             3366,            22               
0,               2783,            5003,            3472,            4348             
0,               2843,            919,             3581,            177              
0,               2710,            698,             3374,            29               
0,               2788,            3879,            3514,            3175             
0,               2812,            989,             3533,            274              
0,               2791,            738,             3488,            38               
0,               2771,            724,             3442,            53               
0,               2744,            922,             3443,            223              
0,               2795,            5659,            3498,            4986             
0,               2669,            866,             3386,            147              
0,               2704,            864,             3420,            149              
0,               2744,            781,             3422,            102              
0,               2908,            781,             3552,            135              
0,               2825,            779,             3512,            87               
0,               2743,            900,             3426,            215              
0,               2801,            789,             3492,            114              
0,               2731,            1060,            3450,            339              
0,               2741,            830,             3505,            64               
0,               2746,            852,             3478,            117              
0,               2729,            5772,            3431,            5101             
0,               2881,            1024,            3616,            288              
0,               2692,            1743,            3405,            1042             
0,               2873,            888,             3612,            147              
0,               2748,            690,             3401,            34               
0,               2825,            796,             3553,            67               
0,               2702,            1089,            3451,            337              
0,               2852,            834,             3565,            118              
0,               2759,            949,             3462,            242              
