#run_ID,         bf thickness,    n_deaths,        n_detachments,   n_immigrations,  n_replications,  exit time        
0,               0,               3802,            58,              3630,            229,             4200             
1,               0,               3592,            41,              3549,            80,              4200             
2,               0,               4325,            90,              3477,            937,             4200             
3,               0,               3722,            54,              3594,            178,             4200             
4,               1,               11370,           278,             3497,            8243,            4200             
5,               0,               3882,            67,              3547,            398,             4200             
6,               0,               3517,            53,              3462,            113,             4200             
7,               0,               3721,            47,              3534,            231,             4200             
8,               0,               3978,            78,              3511,            542,             4200             
9,               0,               3751,            58,              3469,            341,             4200             
10,              0,               3535,            51,              3532,            53,              4200             
11,              0,               3528,            52,              3529,            52,              4200             
12,              0,               3588,            63,              3380,            268,             4200             
13,              0,               3500,            48,              3395,            153,             4200             
14,              1,               10620,           281,             3546,            7408,            4200             
15,              0,               3724,            51,              3469,            304,             4200             
16,              0,               3844,            71,              3493,            419,             4200             
17,              0,               3734,            42,              3598,            180,             4200             
18,              0,               3531,            31,              3522,            41,              4200             
19,              0,               3535,            40,              3351,            224,             4200             
20,              3,               8273,            147,             3510,            5084,            4200             
21,              0,               3602,            46,              3556,            91,              4200             
22,              0,               4842,            138,             3462,            1558,            4200             
23,              0,               3496,            40,              3492,            43,              4200             
24,              0,               3620,            48,              3556,            113,             4200             
25,              0,               3911,            78,              3488,            500,             4200             
26,              0,               4098,            78,              3425,            749,             4200             
27,              0,               3657,            47,              3561,            154,             4200             
28,              0,               5227,            137,             3581,            1779,            4200             
29,              0,               3644,            46,              3620,            69,              4200             
30,              0,               3537,            42,              3494,            80,              4200             
31,              0,               3683,            44,              3523,            204,             4200             
32,              0,               3721,            65,              3622,            162,             4200             
33,              0,               3922,            62,              3472,            519,             4200             
34,              0,               3684,            52,              3558,            175,             4200             
35,              0,               3480,            49,              3476,            52,              4200             
36,              0,               3595,            34,              3518,            111,             4200             
37,              0,               3997,            63,              3591,            471,             4200             
38,              0,               3653,            54,              3406,            300,             4200             
39,              0,               3801,            56,              3533,            324,             4200             
40,              0,               6892,            234,             3453,            3724,            4200             
41,              1,               4321,            73,              3425,            1020,            4200             
42,              0,               3528,            47,              3420,            158,             4200             
43,              1,               8867,            282,             3464,            5738,            4200             
44,              0,               3547,            44,              3519,            74,              4200             
45,              0,               5057,            146,             3564,            1681,            4200             
46,              9,               36197,           502,             3461,            33734,           4200             
47,              0,               3759,            62,              3523,            297,             4200             
48,              0,               4024,            76,              3569,            530,             4200             
49,              0,               3562,            46,              3512,            96,              4200             
50,              9,               26149,           320,             3468,            23491,           4200             
51,              0,               4261,            96,              3495,            858,             4200             
52,              0,               5448,            137,             3512,            2112,            4200             
53,              0,               3838,            74,              3534,            393,             4200             
54,              0,               3754,            51,              3474,            332,             4200             
55,              0,               4114,            72,              3564,            623,             4200             
56,              0,               3419,            47,              3429,            39,              4200             
57,              0,               3520,            43,              3494,            65,              4200             
58,              0,               3762,            51,              3559,            253,             4200             
59,              0,               3552,            43,              3554,            38,              4200             
60,              0,               3706,            48,              3464,            288,             4200             
61,              0,               3825,            62,              3471,            416,             4200             
62,              0,               7927,            306,             3454,            4809,            4200             
63,              0,               4230,            79,              3494,            814,             4200             
64,              0,               3564,            44,              3590,            15,              4200             
65,              0,               6733,            227,             3497,            3478,            4200             
66,              0,               3583,            56,              3495,            142,             4200             
67,              0,               3628,            39,              3592,            73,              4200             
68,              0,               4640,            128,             3456,            1313,            4200             
69,              0,               3475,            55,              3455,            71,              4200             
70,              0,               4503,            88,              3590,            998,             4200             
71,              0,               5289,            159,             3448,            2034,            4200             
72,              0,               4195,            62,              3601,            654,             4200             
73,              0,               6003,            189,             3528,            2706,            4200             
74,              0,               4136,            81,              3524,            692,             4200             
75,              0,               3554,            36,              3526,            63,              4200             
76,              0,               4143,            77,              3579,            680,             4200             
77,              0,               3691,            60,              3512,            241,             4200             
78,              1,               8995,            238,             3417,            5818,            4200             
79,              0,               3820,            70,              3486,            403,             4200             
80,              0,               3819,            77,              3464,            433,             4200             
81,              0,               3563,            45,              3433,            175,             4200             
82,              0,               3434,            58,              3390,            101,             4200             
83,              0,               3471,            38,              3456,            53,              4200             
84,              0,               3599,            65,              3517,            152,             4200             
85,              0,               4246,            89,              3461,            888,             4200             
86,              0,               3978,            72,              3514,            533,             4200             
87,              0,               3704,            65,              3476,            293,             4200             
88,              0,               3729,            41,              3595,            187,             4200             
89,              0,               3549,            47,              3451,            144,             4200             
90,              0,               3922,            70,              3580,            416,             4200             
91,              0,               3595,            59,              3446,            207,             4200             
92,              0,               3519,            41,              3514,            50,              4200             
93,              0,               3576,            49,              3531,            92,              4200             
94,              0,               3635,            40,              3540,            136,             4200             
95,              0,               3545,            54,              3534,            66,              4200             
96,              0,               3479,            60,              3452,            90,              4200             
97,              0,               3648,            46,              3569,            126,             4200             
98,              0,               4699,            121,             3453,            1366,            4200             
99,              0,               3740,            68,              3502,            304,             4200             
100,             0,               3599,            57,              3563,            92,              4200             
101,             2,               10045,           238,             3493,            6873,            4200             
102,             0,               3730,            59,              3563,            224,             4200             
103,             0,               4209,            92,              3562,            739,             4200             
104,             12,              34435,           475,             3492,            32156,           4200             
105,             4,               24477,           406,             3434,            21639,           4200             
106,             0,               3878,            58,              3558,            374,             4200             
107,             0,               3855,            60,              3439,            473,             4200             
108,             0,               3474,            39,              3477,            35,              4200             
109,             0,               3649,            62,              3541,            167,             4200             
110,             0,               3458,            43,              3421,            77,              4200             
111,             0,               3601,            43,              3581,            60,              4200             
112,             0,               3698,            50,              3509,            239,             4200             
113,             0,               4251,            90,              3476,            866,             4200             
114,             0,               4075,            90,              3477,            689,             4200             
115,             0,               3833,            56,              3450,            436,             4200             
116,             0,               3470,            52,              3435,            84,              4200             
117,             0,               3536,            60,              3332,            261,             4200             
118,             0,               3499,            35,              3522,            8,               4200             
119,             0,               4282,            95,              3554,            821,             4200             
120,             0,               3614,            62,              3445,            231,             4200             
121,             0,               7145,            281,             3420,            4031,            4200             
122,             0,               3604,            60,              3529,            132,             4200             
123,             0,               3984,            69,              3510,            545,             4200             
124,             4,               17934,           311,             3524,            14931,           4200             
125,             0,               3435,            53,              3352,            133,             4200             
126,             0,               3542,            39,              3476,            110,             4200             
127,             0,               3593,            46,              3544,            92,              4200             
128,             0,               4177,            66,              3614,            627,             4200             
129,             0,               3557,            36,              3569,            21,              4200             
130,             0,               3558,            42,              3560,            40,              4200             
131,             0,               3520,            37,              3459,            98,              4200             
132,             0,               3756,            66,              3462,            357,             4200             
133,             0,               3501,            44,              3401,            140,             4200             
134,             0,               3588,            31,              3532,            84,              4200             
135,             1,               8262,            208,             3576,            4933,            4200             
136,             0,               4619,            125,             3412,            1350,            4200             
137,             0,               5325,            153,             3576,            1902,            4200             
138,             0,               3547,            52,              3466,            137,             4200             
139,             18,              60528,           420,             3391,            58652,           4200             
140,             0,               3872,            62,              3586,            363,             4200             
141,             0,               3611,            48,              3531,            129,             4200             
142,             0,               3496,            39,              3436,            99,              4200             
143,             0,               4294,            94,              3496,            923,             4200             
144,             0,               3685,            49,              3532,            198,             4200             
145,             0,               4067,            69,              3436,            709,             4200             
146,             0,               3589,            40,              3541,            84,              4200             
147,             0,               3862,            70,              3595,            336,             4200             
148,             0,               3636,            57,              3585,            107,             4200             
149,             0,               3746,            53,              3600,            195,             4200             
150,             1,               7806,            187,             3483,            4546,            4200             
151,             0,               4225,            86,              3575,            735,             4200             
152,             0,               3916,            55,              3516,            452,             4200             
153,             0,               3701,            50,              3475,            273,             4200             
154,             0,               3639,            49,              3485,            201,             4200             
155,             0,               4791,            118,             3538,            1369,            4200             
156,             0,               5094,            127,             3466,            1786,            4200             
157,             0,               3687,            61,              3528,            219,             4200             
158,             0,               3564,            42,              3407,            196,             4200             
159,             0,               3757,            51,              3479,            329,             4200             
160,             2,               15984,           287,             3584,            12802,           4200             
161,             0,               3571,            48,              3541,            81,              4200             
162,             0,               3788,            43,              3530,            299,             4200             
163,             0,               3617,            45,              3614,            44,              4200             
164,             0,               4692,            117,             3391,            1418,            4200             
165,             2,               14786,           325,             3429,            11785,           4200             
166,             0,               3854,            71,              3502,            422,             4200             
167,             0,               4044,            76,              3480,            683,             4200             
168,             0,               4382,            97,              3463,            1014,            4200             
169,             0,               4039,            81,              3423,            695,             4200             
170,             0,               3626,            49,              3514,            158,             4200             
171,             0,               3876,            70,              3456,            487,             4200             
172,             7,               44021,           439,             3470,            41346,           4200             
173,             0,               3724,            56,              3543,            242,             4200             
174,             0,               3810,            64,              3461,            421,             4200             
175,             0,               3717,            43,              3546,            214,             4200             
176,             0,               3557,            39,              3524,            74,              4200             
177,             0,               3815,            46,              3518,            371,             4200             
178,             0,               4261,            90,              3530,            821,             4200             
179,             0,               3475,            45,              3474,            43,              4200             
180,             0,               3590,            43,              3583,            46,              4200             
181,             0,               4191,            80,              3596,            683,             4200             
182,             0,               3527,            57,              3523,            58,              4200             
183,             0,               4788,            133,             3492,            1439,            4200             
184,             0,               3549,            54,              3518,            81,              4200             
185,             0,               3840,            67,              3438,            470,             4200             
186,             0,               3536,            52,              3438,            151,             4200             
187,             0,               3512,            30,              3495,            45,              4200             
188,             0,               3602,            42,              3519,            122,             4200             
189,             0,               3518,            49,              3528,            39,              4200             
190,             0,               4784,            111,             3494,            1405,            4200             
191,             13,              42558,           401,             3594,            40060,           4200             
192,             0,               3632,            46,              3577,            100,             4200             
193,             0,               3613,            51,              3385,            281,             4200             
194,             0,               3487,            45,              3463,            70,              4200             
195,             0,               3594,            45,              3539,            95,              4200             
196,             0,               3596,            38,              3507,            122,             4200             
197,             0,               3570,            58,              3454,            172,             4200             
198,             0,               7163,            257,             3485,            3957,            4200             
199,             0,               3478,            50,              3479,            48,              4200             
