#run_ID,         bf thickness,    n_deaths,        n_detachments,   n_immigrations,  n_replications,  exit time        
0,               24,              112922,          849,             3557,            111721,          4200             
1,               16,              52401,           790,             3460,            50837,           4200             
2,               24,              97291,           708,             3410,            96295,           4200             
3,               5,               20633,           728,             3419,            18305,           4200             
4,               1,               9360,            625,             3485,            6605,            4200             
5,               19,              71703,           803,             3461,            70273,           4200             
6,               7,               24646,           846,             3593,            22274,           4200             
7,               13,              61158,           837,             3488,            59313,           4200             
8,               0,               7505,            460,             3509,            4482,            4200             
9,               23,              118259,          913,             3467,            117380,          4200             
10,              16,              57664,           704,             3503,            55845,           4200             
11,              1,               12412,           731,             3514,            9699,            4200             
12,              17,              66461,           701,             3502,            64674,           4200             
13,              14,              54585,           918,             3423,            53023,           4200             
14,              37,              211218,          921,             3637,            211073,          4200             
15,              0,               9229,            642,             3468,            6438,            4200             
16,              7,               33831,           843,             3481,            31629,           4200             
17,              10,              24517,           768,             3524,            22268,           4200             
18,              0,               9838,            720,             3567,            7008,            4200             
19,              7,               26118,           768,             3561,            23821,           4200             
20,              10,              42366,           805,             3573,            40173,           4200             
21,              8,               29509,           747,             3516,            27206,           4200             
22,              16,              65851,           700,             3499,            64092,           4200             
23,              27,              122238,          979,             3547,            121471,          4200             
24,              10,              35539,           842,             3504,            33449,           4200             
25,              20,              88418,           802,             3520,            87093,           4200             
26,              30,              135373,          828,             3431,            134767,          4200             
27,              2,               15948,           629,             3505,            13169,           4200             
28,              15,              53686,           718,             3388,            51847,           4200             
29,              22,              103957,          837,             3414,            102856,          4200             
30,              12,              48276,           911,             3374,            46477,           4200             
31,              29,              122552,          889,             3459,            121796,          4200             
32,              8,               26251,           673,             3478,            23998,           4200             
33,              6,               22342,           657,             3551,            19768,           4200             
34,              24,              108439,          873,             3473,            107647,          4200             
35,              6,               19746,           807,             3541,            17377,           4200             
36,              0,               6384,            373,             3533,            3265,            4200             
37,              13,              64818,           844,             3522,            62936,           4200             
38,              9,               34892,           761,             3491,            32643,           4200             
39,              5,               12715,           575,             3482,            10055,           4200             
40,              11,              32696,           731,             3462,            30622,           4200             
41,              18,              55511,           669,             3547,            53621,           4200             
42,              13,              34726,           870,             3435,            33034,           4200             
43,              19,              65647,           714,             3588,            63907,           4200             
44,              15,              50432,           679,             3516,            48631,           4200             
45,              22,              98620,           885,             3515,            97670,           4200             
46,              26,              107566,          843,             3526,            106601,          4200             
47,              19,              75090,           713,             3546,            73493,           4200             
48,              7,               41110,           819,             3474,            38859,           4200             
49,              0,               9519,            658,             3491,            6708,            4200             
50,              8,               25309,           705,             3482,            22945,           4200             
51,              0,               10200,           699,             3529,            7409,            4200             
52,              35,              204979,          816,             3509,            204646,          4200             
53,              11,              37780,           729,             3527,            35687,           4200             
54,              8,               40758,           687,             3481,            38352,           4200             
55,              10,              29747,           792,             3533,            27532,           4200             
56,              5,               22380,           662,             3377,            19966,           4200             
57,              10,              33957,           787,             3498,            31828,           4200             
58,              27,              132379,          875,             3520,            131456,          4200             
59,              5,               28612,           759,             3520,            26180,           4200             
60,              26,              108910,          888,             3501,            108121,          4200             
