#run_ID,         bf thickness,    n_deaths,        n_detachments,   n_immigrations,  n_replications,  exit time        
0,               0,               2745,            1514,            3450,            828,             4200             
1,               0,               2748,            717,             3431,            33,              4200             
2,               0,               2775,            787,             3547,            15,              4200             
3,               0,               2761,            765,             3471,            52,              4200             
4,               0,               2693,            763,             3403,            50,              4200             
5,               0,               2918,            830,             3697,            53,              4200             
6,               0,               2771,            805,             3453,            128,             4200             
7,               0,               2755,            876,             3462,            166,             4200             
8,               0,               2810,            957,             3536,            229,             4200             
9,               0,               2784,            864,             3524,            121,             4200             
10,              0,               2712,            813,             3489,            31,              4200             
11,              0,               2811,            977,             3530,            255,             4200             
12,              0,               2882,            918,             3594,            204,             4200             
13,              0,               2702,            824,             3472,            52,              4200             
14,              0,               2785,            830,             3522,            92,              4200             
15,              0,               2679,            940,             3458,            156,             4200             
16,              0,               2763,            790,             3503,            47,              4200             
17,              0,               2753,            2052,            3478,            1340,            4200             
18,              0,               2735,            826,             3482,            76,              4200             
19,              0,               2683,            854,             3440,            96,              4200             
20,              0,               2786,            933,             3471,            243,             4200             
21,              0,               2757,            727,             3471,            18,              4200             
22,              0,               2754,            918,             3466,            202,             4200             
23,              0,               2745,            835,             3508,            68,              4200             
24,              0,               2773,            849,             3457,            162,             4200             
25,              0,               2785,            756,             3495,            46,              4200             
26,              0,               2794,            898,             3560,            129,             4200             
27,              0,               2694,            1166,            3419,            462,             4200             
28,              0,               2827,            849,             3563,            113,             4200             
29,              0,               2596,            800,             3318,            75,              4200             
30,              0,               2689,            899,             3409,            179,             4200             
31,              0,               2825,            831,             3534,            120,             4200             
32,              0,               2796,            964,             3526,            241,             4200             
33,              0,               2740,            803,             3445,            94,              4200             
34,              0,               2777,            1476,            3552,            698,             4200             
35,              0,               2780,            818,             3533,            65,              4200             
36,              0,               2782,            928,             3500,            207,             4200             
37,              0,               2672,            1908,            3458,            1120,            4200             
38,              0,               2703,            771,             3402,            69,              4200             
39,              0,               2820,            5278,            3570,            4538,            4200             
40,              0,               2688,            788,             3396,            80,              4200             
41,              0,               2693,            781,             3416,            56,              4200             
42,              0,               2638,            3171,            3349,            2455,            4200             
43,              0,               2786,            765,             3494,            54,              4200             
44,              0,               2786,            1036,            3528,            313,             4200             
45,              0,               2681,            816,             3444,            54,              4200             
46,              0,               2839,            1003,            3556,            287,             4200             
47,              0,               2751,            838,             3472,            114,             4200             
48,              0,               2713,            800,             3447,            62,              4200             
49,              0,               2872,            791,             3578,            86,              4200             
50,              0,               2737,            785,             3456,            62,              4200             
51,              0,               2725,            6042,            3485,            5300,            4200             
52,              0,               2786,            686,             3456,            16,              4200             
53,              0,               2810,            872,             3561,            119,             4200             
54,              0,               2646,            948,             3406,            185,             4200             
55,              0,               2758,            798,             3531,            22,              4200             
56,              0,               2696,            1663,            3419,            961,             4200             
57,              0,               2723,            894,             3492,            123,             4200             
58,              0,               2688,            841,             3446,            80,              4200             
59,              0,               2806,            841,             3551,            92,              4200             
60,              0,               2776,            841,             3520,            93,              4200             
61,              0,               2839,            793,             3555,            75,              4200             
62,              0,               2716,            1076,            3477,            314,             4200             
63,              0,               2860,            805,             3599,            62,              4200             
64,              0,               2773,            908,             3532,            149,             4200             
65,              0,               2845,            2898,            3606,            2161,            4200             
66,              0,               2675,            816,             3382,            108,             4200             
67,              0,               2769,            779,             3514,            32,              4200             
68,              0,               2786,            816,             3480,            118,             4200             
69,              0,               2756,            912,             3501,            164,             4200             
70,              0,               2876,            833,             3636,            71,              4200             
71,              0,               2716,            826,             3424,            116,             4200             
72,              0,               2856,            838,             3616,            74,              4200             
73,              0,               2662,            1059,            3401,            316,             4200             
74,              0,               2683,            7816,            3455,            7077,            4200             
75,              0,               2655,            840,             3409,            83,              4200             
76,              0,               2781,            1030,            3508,            299,             4200             
77,              0,               2794,            838,             3521,            110,             4200             
78,              0,               2761,            982,             3499,            241,             4200             
79,              0,               2839,            770,             3558,            52,              4200             
