#tau,            K*,              det_rate,        thickness,       thick_stDev,     n_deaths,        n_detachments,   n_immigrations,  n_replications,  n_tau_halves     
1.0000E-02,      4.0000E-01,      2.0000E-03,      9.0000E+00,      0.0000E+00,      1.4350E+03,      1.1933E+01,      1.2427E+02,      1.7657E+03,      5.1333E+00       
1.0000E-02,      4.0000E-01,      2.1000E-03,      9.0000E+00,      0.0000E+00,      1.5263E+03,      2.4867E+01,      1.3033E+02,      1.8703E+03,      4.8667E+00       
1.0000E-02,      4.0000E-01,      2.2000E-03,      9.0000E+00,      0.0000E+00,      1.5098E+03,      2.7267E+01,      1.2687E+02,      1.8542E+03,      4.2667E+00       
1.0000E-02,      4.0000E-01,      2.3000E-03,      9.0000E+00,      0.0000E+00,      1.5730E+03,      2.4800E+01,      1.3420E+02,      1.9243E+03,      4.9333E+00       
1.0000E-02,      4.0000E-01,      2.4000E-03,      9.0000E+00,      0.0000E+00,      1.5895E+03,      2.8400E+01,      1.3360E+02,      1.9276E+03,      5.2000E+00       
1.0000E-02,      4.0000E-01,      2.5000E-03,      9.0000E+00,      0.0000E+00,      1.4962E+03,      2.4000E+01,      1.3200E+02,      1.8404E+03,      5.4000E+00       
1.0000E-02,      4.0000E-01,      2.6000E-03,      9.0000E+00,      0.0000E+00,      1.6347E+03,      2.8533E+01,      1.3620E+02,      1.9871E+03,      6.0667E+00       
1.0000E-02,      4.0000E-01,      2.7000E-03,      9.0000E+00,      0.0000E+00,      1.5057E+03,      2.5200E+01,      1.3053E+02,      1.8589E+03,      4.6000E+00       
1.0000E-02,      4.0000E-01,      2.8000E-03,      9.0000E+00,      0.0000E+00,      1.5729E+03,      4.2000E+01,      1.3980E+02,      1.9283E+03,      4.8667E+00       
1.0000E-02,      4.0000E-01,      2.9000E-03,      9.0000E+00,      0.0000E+00,      1.6346E+03,      5.4733E+01,      1.4147E+02,      1.9843E+03,      5.5333E+00       
1.0000E-02,      4.0000E-01,      3.0000E-03,      9.0000E+00,      0.0000E+00,      1.6026E+03,      5.2267E+01,      1.3940E+02,      1.9677E+03,      5.3333E+00       
1.0000E-02,      4.0000E-01,      3.1000E-03,      9.0000E+00,      0.0000E+00,      1.6092E+03,      5.8533E+01,      1.3867E+02,      1.9854E+03,      5.4667E+00       
1.0000E-02,      4.0000E-01,      3.2000E-03,      9.0000E+00,      0.0000E+00,      1.6438E+03,      5.4600E+01,      1.4553E+02,      2.0002E+03,      6.2000E+00       
1.0000E-02,      4.0000E-01,      3.3000E-03,      9.0000E+00,      0.0000E+00,      1.6151E+03,      5.5867E+01,      1.4047E+02,      1.9825E+03,      5.2667E+00       
1.0000E-02,      4.0000E-01,      3.4000E-03,      9.0000E+00,      0.0000E+00,      1.6117E+03,      5.5333E+01,      1.3980E+02,      1.9885E+03,      4.7333E+00       
1.0000E-02,      4.0000E-01,      3.5000E-03,      9.0000E+00,      0.0000E+00,      1.5658E+03,      4.8000E+01,      1.2960E+02,      1.9461E+03,      5.8667E+00       
1.0000E-02,      4.0000E-01,      3.6000E-03,      9.0000E+00,      0.0000E+00,      1.6667E+03,      5.5600E+01,      1.4020E+02,      2.0449E+03,      4.8667E+00       
1.0000E-02,      4.0000E-01,      3.7000E-03,      9.0000E+00,      0.0000E+00,      1.6677E+03,      5.3733E+01,      1.4427E+02,      2.0385E+03,      5.1333E+00       
1.0000E-02,      4.0000E-01,      3.8000E-03,      9.0000E+00,      0.0000E+00,      1.5895E+03,      5.1667E+01,      1.4067E+02,      1.9601E+03,      4.2000E+00       
1.0000E-02,      4.0000E-01,      3.9000E-03,      9.0000E+00,      0.0000E+00,      1.7214E+03,      6.1267E+01,      1.4187E+02,      2.0989E+03,      5.8667E+00       
