#tau,            K*,              det_rate,        thickness,       thick_stDev,     n_deaths,        n_detachments,   n_immigrations,  n_replications,  n_tau_halves     
2.0000E-01,      4.0000E-01,      2.0000E-03,      9.0000E+00,      0.0000E+00,      6.6000E+02,      8.6667E+00,      1.0233E+02,      1.2476E+03,      1.1780E+02       
2.0000E-01,      4.0000E-01,      2.1000E-03,      9.0000E+00,      0.0000E+00,      6.0867E+02,      7.2667E+00,      1.0253E+02,      1.1809E+03,      1.0560E+02       
2.0000E-01,      4.0000E-01,      2.2000E-03,      9.0000E+00,      0.0000E+00,      6.7500E+02,      9.4000E+00,      1.0313E+02,      1.2590E+03,      1.1467E+02       
2.0000E-01,      4.0000E-01,      2.3000E-03,      9.0000E+00,      0.0000E+00,      6.7307E+02,      9.2000E+00,      1.0213E+02,      1.2569E+03,      1.0873E+02       
2.0000E-01,      4.0000E-01,      2.4000E-03,      9.0000E+00,      0.0000E+00,      6.5753E+02,      9.9333E+00,      9.9533E+01,      1.2359E+03,      1.1160E+02       
2.0000E-01,      4.0000E-01,      2.5000E-03,      9.0000E+00,      0.0000E+00,      6.4313E+02,      7.8667E+00,      9.9600E+01,      1.2239E+03,      1.0600E+02       
2.0000E-01,      4.0000E-01,      2.6000E-03,      9.0000E+00,      0.0000E+00,      6.0753E+02,      1.0400E+01,      9.8467E+01,      1.1835E+03,      1.0313E+02       
2.0000E-01,      4.0000E-01,      2.7000E-03,      9.0000E+00,      0.0000E+00,      6.3140E+02,      9.9333E+00,      9.9133E+01,      1.2017E+03,      1.0353E+02       
2.0000E-01,      4.0000E-01,      2.8000E-03,      9.0000E+00,      0.0000E+00,      6.4120E+02,      1.0933E+01,      9.7000E+01,      1.2328E+03,      1.1280E+02       
2.0000E-01,      4.0000E-01,      2.9000E-03,      9.0000E+00,      0.0000E+00,      6.6813E+02,      1.4867E+01,      1.0053E+02,      1.2607E+03,      1.1967E+02       
2.0000E-01,      4.0000E-01,      3.0000E-03,      9.0000E+00,      0.0000E+00,      6.6480E+02,      1.5667E+01,      1.0193E+02,      1.2593E+03,      1.1193E+02       
2.0000E-01,      4.0000E-01,      3.1000E-03,      9.0000E+00,      0.0000E+00,      6.1833E+02,      1.5200E+01,      1.0293E+02,      1.1957E+03,      1.0900E+02       
2.0000E-01,      4.0000E-01,      3.2000E-03,      9.0000E+00,      0.0000E+00,      6.2940E+02,      1.5400E+01,      1.0447E+02,      1.2196E+03,      1.0720E+02       
2.0000E-01,      4.0000E-01,      3.3000E-03,      9.0000E+00,      0.0000E+00,      6.5580E+02,      1.5467E+01,      1.0447E+02,      1.2355E+03,      1.0907E+02       
2.0000E-01,      4.0000E-01,      3.4000E-03,      9.0000E+00,      0.0000E+00,      6.6160E+02,      1.5067E+01,      1.0293E+02,      1.2538E+03,      1.1167E+02       
2.0000E-01,      4.0000E-01,      3.5000E-03,      9.0000E+00,      0.0000E+00,      6.4113E+02,      1.4733E+01,      9.8733E+01,      1.2259E+03,      1.0907E+02       
2.0000E-01,      4.0000E-01,      3.6000E-03,      9.0000E+00,      0.0000E+00,      6.4520E+02,      1.5667E+01,      1.0407E+02,      1.2332E+03,      1.0807E+02       
2.0000E-01,      4.0000E-01,      3.7000E-03,      9.0000E+00,      0.0000E+00,      6.5947E+02,      1.6400E+01,      1.0707E+02,      1.2453E+03,      1.0327E+02       
2.0000E-01,      4.0000E-01,      3.8000E-03,      9.0000E+00,      0.0000E+00,      6.5307E+02,      1.6800E+01,      1.0260E+02,      1.2396E+03,      1.1620E+02       
2.0000E-01,      4.0000E-01,      3.9000E-03,      9.0000E+00,      0.0000E+00,      6.5473E+02,      1.3600E+01,      9.7000E+01,      1.2437E+03,      1.1020E+02       
2.0000E-01,      4.0000E-01,      4.0000E-03,      9.0000E+00,      0.0000E+00,      6.5007E+02,      1.4467E+01,      1.0473E+02,      1.2270E+03,      1.0533E+02       
2.0000E-01,      4.2500E-01,      2.0000E-03,      9.0000E+00,      0.0000E+00,      6.9433E+02,      9.4000E+00,      1.0593E+02,      1.2861E+03,      1.0967E+02       
2.0000E-01,      4.2500E-01,      2.1000E-03,      9.0000E+00,      0.0000E+00,      7.0520E+02,      9.1333E+00,      1.0693E+02,      1.2920E+03,      1.1753E+02       
2.0000E-01,      4.2500E-01,      2.2000E-03,      9.0000E+00,      0.0000E+00,      7.2513E+02,      1.0200E+01,      1.0760E+02,      1.3229E+03,      1.2360E+02       
2.0000E-01,      4.2500E-01,      2.3000E-03,      9.0000E+00,      0.0000E+00,      6.9173E+02,      8.6000E+00,      1.0527E+02,      1.2851E+03,      1.1847E+02       
2.0000E-01,      4.2500E-01,      2.4000E-03,      9.0000E+00,      0.0000E+00,      7.0593E+02,      1.0933E+01,      1.0607E+02,      1.3017E+03,      1.1787E+02       
2.0000E-01,      4.2500E-01,      2.5000E-03,      9.0000E+00,      0.0000E+00,      7.1100E+02,      1.0467E+01,      1.0593E+02,      1.3009E+03,      1.1720E+02       
2.0000E-01,      4.2500E-01,      2.6000E-03,      9.0000E+00,      0.0000E+00,      7.0867E+02,      1.3000E+01,      1.0620E+02,      1.3078E+03,      1.1653E+02       
2.0000E-01,      4.2500E-01,      2.7000E-03,      9.0000E+00,      0.0000E+00,      7.1607E+02,      1.4333E+01,      1.0780E+02,      1.3134E+03,      1.1813E+02       
2.0000E-01,      4.2500E-01,      2.8000E-03,      9.0000E+00,      0.0000E+00,      7.0900E+02,      1.2067E+01,      1.0560E+02,      1.3030E+03,      1.1813E+02       
2.0000E-01,      4.2500E-01,      2.9000E-03,      9.0000E+00,      0.0000E+00,      7.4473E+02,      1.6067E+01,      1.1127E+02,      1.3405E+03,      1.2260E+02       
2.0000E-01,      4.2500E-01,      3.0000E-03,      9.0000E+00,      0.0000E+00,      7.1727E+02,      1.7067E+01,      1.0900E+02,      1.3211E+03,      1.2133E+02       
2.0000E-01,      4.2500E-01,      3.1000E-03,      9.0000E+00,      0.0000E+00,      7.1133E+02,      1.8000E+01,      1.0680E+02,      1.3053E+03,      1.1947E+02       
2.0000E-01,      4.2500E-01,      3.2000E-03,      9.0000E+00,      0.0000E+00,      7.4213E+02,      1.8467E+01,      1.1073E+02,      1.3429E+03,      1.2647E+02       
2.0000E-01,      4.2500E-01,      3.3000E-03,      9.0000E+00,      0.0000E+00,      7.2167E+02,      2.0267E+01,      1.1093E+02,      1.3189E+03,      1.2520E+02       
2.0000E-01,      4.2500E-01,      3.4000E-03,      9.0000E+00,      0.0000E+00,      7.0007E+02,      1.8933E+01,      1.1187E+02,      1.2988E+03,      1.1687E+02       
2.0000E-01,      4.2500E-01,      3.5000E-03,      9.0000E+00,      0.0000E+00,      6.9613E+02,      2.1333E+01,      1.0587E+02,      1.3014E+03,      1.1833E+02       
2.0000E-01,      4.2500E-01,      3.6000E-03,      9.0000E+00,      0.0000E+00,      7.1127E+02,      1.7867E+01,      1.0773E+02,      1.3193E+03,      1.2220E+02       
