#tau,            K*,              det_rate,        thickness,       thick_stDev,     n_deaths,        n_detachments,   n_immigrations,  n_replications,  n_tau_halves     
7.5000E-01,      6.0000E-01,      2.0000E-03,      3.2000E+00,      4.1877E+00,      1.5447E+03,      4.1750E+01,      7.7375E+02,      1.0569E+03,      5.7990E+02       
7.6000E-01,      6.0000E-01,      2.0000E-03,      2.7000E+00,      3.8402E+00,      1.4373E+03,      4.1850E+01,      7.7405E+02,      9.2380E+02,      5.1690E+02       
7.7000E-01,      6.0000E-01,      2.0000E-03,      2.7500E+00,      3.7116E+00,      1.4645E+03,      4.6000E+01,      7.6585E+02,      9.6580E+02,      5.3275E+02       
7.8000E-01,      6.0000E-01,      2.0000E-03,      1.2000E+00,      2.7834E+00,      1.0461E+03,      2.9400E+01,      7.8200E+02,      4.0145E+02,      2.6820E+02       
7.9000E-01,      6.0000E-01,      2.0000E-03,      1.3500E+00,      3.2971E+00,      1.0730E+03,      3.0300E+01,      7.5615E+02,      4.6580E+02,      3.0190E+02       
8.0000E-01,      6.0000E-01,      2.0000E-03,      2.3000E+00,      3.9749E+00,      1.3764E+03,      3.9200E+01,      7.5700E+02,      8.4045E+02,      5.1485E+02       
8.1000E-01,      6.0000E-01,      2.0000E-03,      1.8000E+00,      3.3966E+00,      1.2077E+03,      3.9550E+01,      7.4820E+02,      6.5355E+02,      3.7975E+02       
8.2000E-01,      6.0000E-01,      2.0000E-03,      1.8000E+00,      3.6935E+00,      1.1411E+03,      2.8850E+01,      7.6615E+02,      5.5350E+02,      3.7460E+02       
8.3000E-01,      6.0000E-01,      2.0000E-03,      1.3000E+00,      2.8855E+00,      1.1062E+03,      2.9450E+01,      7.9375E+02,      4.5205E+02,      3.2010E+02       
8.4000E-01,      6.0000E-01,      2.0000E-03,      3.7500E+00,      4.3513E+00,      1.4797E+03,      3.9550E+01,      7.3435E+02,      1.0848E+03,      6.5465E+02       
8.5000E-01,      6.0000E-01,      2.0000E-03,      2.1000E+00,      3.4012E+00,      1.1633E+03,      2.9200E+01,      7.7530E+02,      5.8695E+02,      3.8390E+02       
8.6000E-01,      6.0000E-01,      2.0000E-03,      2.0500E+00,      3.3321E+00,      1.2262E+03,      3.2050E+01,      7.7325E+02,      6.5655E+02,      4.1610E+02       
8.7000E-01,      6.0000E-01,      2.0000E-03,      2.5500E+00,      4.0455E+00,      1.3503E+03,      3.4600E+01,      7.5735E+02,      8.3205E+02,      5.7525E+02       
8.8000E-01,      6.0000E-01,      2.0000E-03,      4.0500E+00,      4.5938E+00,      1.4158E+03,      3.2900E+01,      6.6250E+02,      1.1109E+03,      7.1380E+02       
8.9000E-01,      6.0000E-01,      2.0000E-03,      2.1000E+00,      3.7120E+00,      1.2508E+03,      3.1350E+01,      7.7315E+02,      6.7185E+02,      4.6590E+02       
9.0000E-01,      6.0000E-01,      2.0000E-03,      2.9500E+00,      3.8862E+00,      1.4130E+03,      3.3800E+01,      7.4065E+02,      9.3935E+02,      5.9795E+02       
9.1000E-01,      6.0000E-01,      2.0000E-03,      1.1500E+00,      2.8335E+00,      1.0895E+03,      3.0400E+01,      7.8190E+02,      4.3570E+02,      3.1425E+02       
9.2000E-01,      6.0000E-01,      2.0000E-03,      2.9500E+00,      3.8317E+00,      1.3875E+03,      3.0450E+01,      7.5685E+02,      8.8040E+02,      6.1455E+02       
9.3000E-01,      6.0000E-01,      2.0000E-03,      1.3500E+00,      3.1669E+00,      1.1138E+03,      2.9550E+01,      7.9295E+02,      4.6085E+02,      3.4920E+02       
9.4000E-01,      6.0000E-01,      2.0000E-03,      2.7500E+00,      3.9186E+00,      1.3172E+03,      3.5900E+01,      7.1640E+02,      8.5300E+02,      5.5610E+02       
9.5000E-01,      6.0000E-01,      2.0000E-03,      1.8500E+00,      3.6746E+00,      1.2146E+03,      2.8450E+01,      7.7775E+02,      6.1940E+02,      4.4910E+02       
9.6000E-01,      6.0000E-01,      2.0000E-03,      1.4000E+00,      3.2831E+00,      1.1394E+03,      3.1050E+01,      7.7885E+02,      5.1785E+02,      3.7530E+02       
9.7000E-01,      6.0000E-01,      2.0000E-03,      2.5000E+00,      3.6491E+00,      1.3366E+03,      3.0450E+01,      7.7945E+02,      7.7460E+02,      5.6100E+02       
9.8000E-01,      6.0000E-01,      2.0000E-03,      2.3500E+00,      3.7455E+00,      1.2682E+03,      2.9200E+01,      7.6770E+02,      7.2160E+02,      5.4210E+02       
9.9000E-01,      6.0000E-01,      2.0000E-03,      2.4500E+00,      3.9400E+00,      1.2466E+03,      2.6300E+01,      7.5745E+02,      7.0330E+02,      5.2265E+02       
1.0000E+00,      6.0000E-01,      2.0000E-03,      1.8000E+00,      3.6935E+00,      1.2231E+03,      3.1400E+01,      7.5680E+02,      6.4755E+02,      4.8250E+02       
1.0100E+00,      6.0000E-01,      2.0000E-03,      2.4000E+00,      3.8030E+00,      1.2580E+03,      2.9000E+01,      7.5720E+02,      7.1600E+02,      5.3740E+02       
1.0200E+00,      6.0000E-01,      2.0000E-03,      2.6000E+00,      3.7473E+00,      1.3612E+03,      3.8000E+01,      7.5430E+02,      8.5175E+02,      6.3480E+02       
1.0300E+00,      6.0000E-01,      2.0000E-03,      3.2000E+00,      4.0341E+00,      1.4160E+03,      3.4550E+01,      7.4155E+02,      9.5430E+02,      7.1810E+02       
1.0400E+00,      6.0000E-01,      2.0000E-03,      4.5000E-01,      2.0125E+00,      9.5620E+02,      2.8100E+01,      7.7935E+02,      2.5680E+02,      2.4645E+02       
1.0500E+00,      6.0000E-01,      2.0000E-03,      3.3000E+00,      4.2809E+00,      1.4316E+03,      3.6350E+01,      7.1270E+02,      1.0145E+03,      7.5620E+02       
1.0600E+00,      6.0000E-01,      2.0000E-03,      3.0500E+00,      4.2112E+00,      1.3859E+03,      3.4900E+01,      7.4790E+02,      9.1130E+02,      7.0595E+02       
1.0700E+00,      6.0000E-01,      2.0000E-03,      3.1500E+00,      4.2087E+00,      1.5498E+03,      4.4800E+01,      7.5710E+02,      1.0852E+03,      8.2940E+02       
1.0800E+00,      6.0000E-01,      2.0000E-03,      1.9000E+00,      3.5229E+00,      1.1829E+03,      3.5850E+01,      7.6145E+02,      6.1895E+02,      4.8640E+02       
1.0900E+00,      6.0000E-01,      2.0000E-03,      1.7000E+00,      3.4198E+00,      1.2136E+03,      4.3550E+01,      7.5880E+02,      6.4895E+02,      5.0210E+02       
1.1000E+00,      6.0000E-01,      2.0000E-03,      3.4000E+00,      4.2846E+00,      1.4584E+03,      3.8950E+01,      7.2620E+02,      1.0382E+03,      8.2100E+02       
1.1100E+00,      6.0000E-01,      2.0000E-03,      4.0500E+00,      4.2237E+00,      1.6504E+03,      4.7000E+01,      7.2660E+02,      1.2964E+03,      9.5555E+02       
1.1200E+00,      6.0000E-01,      2.0000E-03,      1.9000E+00,      3.4012E+00,      1.1588E+03,      3.1600E+01,      7.6695E+02,      5.9160E+02,      5.0105E+02       
1.1300E+00,      6.0000E-01,      2.0000E-03,      1.4000E+00,      3.2831E+00,      1.0985E+03,      2.8850E+01,      7.8150E+02,      4.7140E+02,      4.2215E+02       
1.1400E+00,      6.0000E-01,      2.0000E-03,      2.9500E+00,      4.1100E+00,      1.3635E+03,      4.1350E+01,      7.5405E+02,      8.8430E+02,      6.7310E+02       
1.1500E+00,      6.0000E-01,      2.0000E-03,      2.6000E+00,      3.9523E+00,      1.3147E+03,      3.5250E+01,      7.4590E+02,      8.0030E+02,      6.5885E+02       
1.1600E+00,      6.0000E-01,      2.0000E-03,      1.5500E+00,      3.2521E+00,      1.1840E+03,      3.2050E+01,      7.6950E+02,      5.7595E+02,      5.2535E+02       
1.1700E+00,      6.0000E-01,      2.0000E-03,      2.4000E+00,      3.8030E+00,      1.2067E+03,      2.7550E+01,      7.5270E+02,      6.7205E+02,      5.8390E+02       
1.1800E+00,      6.0000E-01,      2.0000E-03,      2.7000E+00,      4.2315E+00,      1.3179E+03,      3.0250E+01,      7.3420E+02,      8.3405E+02,      7.1280E+02       
1.1900E+00,      6.0000E-01,      2.0000E-03,      3.6500E+00,      4.0036E+00,      1.4950E+03,      3.8050E+01,      7.4120E+02,      1.0760E+03,      8.7820E+02       
