#tau,            K*,              det_rate,        thickness,       thick_stDev,     n_deaths,        n_detachments,   n_immigrations,  n_replications,  n_tau_halves     
1.0000E-01,      4.0000E-01,      2.0000E-03,      9.0000E+00,      0.0000E+00,      6.2213E+02,      1.5133E+01,      9.9333E+01,      1.2161E+03,      5.5000E+01       
1.0000E-01,      4.0000E-01,      2.1000E-03,      9.0000E+00,      0.0000E+00,      6.3013E+02,      1.3800E+01,      9.7933E+01,      1.2339E+03,      5.3800E+01       
1.0000E-01,      4.0000E-01,      2.2000E-03,      9.0000E+00,      0.0000E+00,      6.0800E+02,      1.4467E+01,      9.7467E+01,      1.2037E+03,      5.1733E+01       
1.0000E-01,      4.0000E-01,      2.3000E-03,      9.0000E+00,      0.0000E+00,      6.5487E+02,      1.5933E+01,      1.0227E+02,      1.2566E+03,      5.0933E+01       
1.0000E-01,      4.0000E-01,      2.4000E-03,      9.0000E+00,      0.0000E+00,      6.3273E+02,      1.6200E+01,      9.9267E+01,      1.2250E+03,      5.4067E+01       
1.0000E-01,      4.0000E-01,      2.5000E-03,      9.0000E+00,      0.0000E+00,      6.4233E+02,      1.5733E+01,      9.8067E+01,      1.2395E+03,      5.3267E+01       
1.0000E-01,      4.0000E-01,      2.6000E-03,      9.0000E+00,      0.0000E+00,      6.4353E+02,      1.4467E+01,      1.0180E+02,      1.2407E+03,      5.2000E+01       
1.0000E-01,      4.0000E-01,      2.7000E-03,      9.0000E+00,      0.0000E+00,      6.2447E+02,      1.5600E+01,      9.7600E+01,      1.2111E+03,      4.8533E+01       
1.0000E-01,      4.0000E-01,      2.8000E-03,      9.0000E+00,      0.0000E+00,      6.8247E+02,      1.6200E+01,      1.0047E+02,      1.2844E+03,      5.8067E+01       
1.0000E-01,      4.0000E-01,      2.9000E-03,      9.0000E+00,      0.0000E+00,      6.2953E+02,      1.5667E+01,      9.7667E+01,      1.2221E+03,      5.1333E+01       
1.0000E-01,      4.0000E-01,      3.0000E-03,      9.0000E+00,      0.0000E+00,      6.4060E+02,      1.6267E+01,      9.7400E+01,      1.2522E+03,      5.5867E+01       
1.0000E-01,      4.0000E-01,      3.1000E-03,      9.0000E+00,      0.0000E+00,      6.4060E+02,      1.4800E+01,      9.9133E+01,      1.2345E+03,      4.9333E+01       
1.0000E-01,      4.0000E-01,      3.2000E-03,      9.0000E+00,      0.0000E+00,      6.4467E+02,      1.7200E+01,      9.8867E+01,      1.2479E+03,      5.3333E+01       
1.0000E-01,      4.0000E-01,      3.3000E-03,      9.0000E+00,      0.0000E+00,      6.3600E+02,      1.4333E+01,      9.6600E+01,      1.2281E+03,      5.3867E+01       
1.0000E-01,      4.0000E-01,      3.4000E-03,      9.0000E+00,      0.0000E+00,      6.5027E+02,      1.5533E+01,      9.8533E+01,      1.2519E+03,      5.4400E+01       
1.0000E-01,      4.0000E-01,      3.5000E-03,      9.0000E+00,      0.0000E+00,      6.3493E+02,      1.4533E+01,      1.0207E+02,      1.2289E+03,      5.2800E+01       
1.0000E-01,      4.0000E-01,      3.6000E-03,      9.0000E+00,      0.0000E+00,      6.5133E+02,      1.5467E+01,      1.0273E+02,      1.2383E+03,      4.7933E+01       
1.0000E-01,      4.0000E-01,      3.7000E-03,      9.0000E+00,      0.0000E+00,      6.5113E+02,      1.6400E+01,      1.0013E+02,      1.2514E+03,      5.3200E+01       
1.0000E-01,      4.0000E-01,      3.8000E-03,      9.0000E+00,      0.0000E+00,      6.4453E+02,      1.6200E+01,      1.0247E+02,      1.2331E+03,      5.0800E+01       
1.0000E-01,      4.0000E-01,      3.9000E-03,      9.0000E+00,      0.0000E+00,      6.4440E+02,      1.4400E+01,      9.7600E+01,      1.2453E+03,      5.0067E+01       
1.0000E-01,      4.0000E-01,      4.0000E-03,      9.0000E+00,      0.0000E+00,      6.2953E+02,      1.5400E+01,      1.0000E+02,      1.2159E+03,      5.2867E+01       
1.0000E-01,      4.2500E-01,      2.0000E-03,      9.0000E+00,      0.0000E+00,      6.9193E+02,      1.8533E+01,      1.0960E+02,      1.2955E+03,      5.2267E+01       
1.0000E-01,      4.2500E-01,      2.1000E-03,      9.0000E+00,      0.0000E+00,      7.4187E+02,      2.1933E+01,      1.0620E+02,      1.3537E+03,      6.0867E+01       
1.0000E-01,      4.2500E-01,      2.2000E-03,      9.0000E+00,      0.0000E+00,      7.1340E+02,      1.9400E+01,      9.8533E+01,      1.3387E+03,      5.7400E+01       
1.0000E-01,      4.2500E-01,      2.3000E-03,      9.0000E+00,      0.0000E+00,      7.3000E+02,      1.9667E+01,      1.0467E+02,      1.3511E+03,      5.8933E+01       
1.0000E-01,      4.2500E-01,      2.4000E-03,      9.0000E+00,      0.0000E+00,      7.2120E+02,      1.9067E+01,      1.0820E+02,      1.3303E+03,      5.8267E+01       
1.0000E-01,      4.2500E-01,      2.5000E-03,      9.0000E+00,      0.0000E+00,      6.9020E+02,      1.7467E+01,      1.0307E+02,      1.3023E+03,      6.0067E+01       
1.0000E-01,      4.2500E-01,      2.6000E-03,      9.0000E+00,      0.0000E+00,      7.3360E+02,      2.1600E+01,      1.0800E+02,      1.3455E+03,      5.6867E+01       
1.0000E-01,      4.2500E-01,      2.7000E-03,      9.0000E+00,      0.0000E+00,      7.0933E+02,      1.7067E+01,      1.0767E+02,      1.3168E+03,      5.9933E+01       
1.0000E-01,      4.2500E-01,      2.8000E-03,      9.0000E+00,      0.0000E+00,      7.1520E+02,      1.9000E+01,      1.0847E+02,      1.3315E+03,      5.6667E+01       
1.0000E-01,      4.2500E-01,      2.9000E-03,      9.0000E+00,      0.0000E+00,      6.9793E+02,      1.8067E+01,      1.0273E+02,      1.3123E+03,      5.8133E+01       
1.0000E-01,      4.2500E-01,      3.0000E-03,      9.0000E+00,      0.0000E+00,      6.8227E+02,      1.6200E+01,      1.0560E+02,      1.2920E+03,      5.7800E+01       
1.0000E-01,      4.2500E-01,      3.1000E-03,      9.0000E+00,      0.0000E+00,      6.8547E+02,      1.6867E+01,      1.0593E+02,      1.2876E+03,      5.9333E+01       
1.0000E-01,      4.2500E-01,      3.2000E-03,      9.0000E+00,      0.0000E+00,      6.9587E+02,      1.7267E+01,      1.0327E+02,      1.3087E+03,      5.6133E+01       
1.0000E-01,      4.2500E-01,      3.3000E-03,      9.0000E+00,      0.0000E+00,      7.0247E+02,      2.0067E+01,      1.0887E+02,      1.3079E+03,      6.1000E+01       
1.0000E-01,      4.2500E-01,      3.4000E-03,      9.0000E+00,      0.0000E+00,      7.2193E+02,      1.7733E+01,      1.0720E+02,      1.3255E+03,      5.4067E+01       
1.0000E-01,      4.2500E-01,      3.5000E-03,      9.0000E+00,      0.0000E+00,      7.1300E+02,      1.7267E+01,      1.0533E+02,      1.3218E+03,      5.5933E+01       
1.0000E-01,      4.2500E-01,      3.6000E-03,      9.0000E+00,      0.0000E+00,      6.8587E+02,      1.7133E+01,      1.0533E+02,      1.3038E+03,      5.7467E+01       
1.0000E-01,      4.2500E-01,      3.7000E-03,      9.0000E+00,      0.0000E+00,      7.0007E+02,      1.7400E+01,      1.0813E+02,      1.3107E+03,      5.8867E+01       
1.0000E-01,      4.2500E-01,      3.8000E-03,      9.0000E+00,      0.0000E+00,      6.9953E+02,      1.8533E+01,      1.0780E+02,      1.3033E+03,      5.3800E+01       
1.0000E-01,      4.2500E-01,      3.9000E-03,      9.0000E+00,      0.0000E+00,      7.3227E+02,      1.7400E+01,      1.0700E+02,      1.3485E+03,      5.7200E+01       
1.0000E-01,      4.2500E-01,      4.0000E-03,      9.0000E+00,      0.0000E+00,      7.2307E+02,      1.8800E+01,      1.0613E+02,      1.3326E+03,      5.8467E+01       
1.0000E-01,      4.5000E-01,      2.0000E-03,      9.0000E+00,      0.0000E+00,      7.4953E+02,      2.0067E+01,      1.1307E+02,      1.3542E+03,      6.4200E+01       
1.0000E-01,      4.5000E-01,      2.1000E-03,      9.0000E+00,      0.0000E+00,      7.3367E+02,      1.7333E+01,      1.0433E+02,      1.3490E+03,      5.6000E+01       
1.0000E-01,      4.5000E-01,      2.2000E-03,      9.0000E+00,      0.0000E+00,      7.7853E+02,      1.9067E+01,      1.0733E+02,      1.4009E+03,      6.3200E+01       
1.0000E-01,      4.5000E-01,      2.3000E-03,      9.0000E+00,      0.0000E+00,      7.7487E+02,      2.0733E+01,      1.1100E+02,      1.3909E+03,      6.5933E+01       
1.0000E-01,      4.5000E-01,      2.4000E-03,      9.0000E+00,      0.0000E+00,      7.4413E+02,      1.9933E+01,      1.1267E+02,      1.3528E+03,      5.8333E+01       
1.0000E-01,      4.5000E-01,      2.5000E-03,      9.0000E+00,      0.0000E+00,      7.3733E+02,      1.8200E+01,      1.1167E+02,      1.3579E+03,      6.0533E+01       
1.0000E-01,      4.5000E-01,      2.6000E-03,      9.0000E+00,      0.0000E+00,      7.5280E+02,      1.9600E+01,      1.1373E+02,      1.3654E+03,      5.8400E+01       
1.0000E-01,      4.5000E-01,      2.7000E-03,      9.0000E+00,      0.0000E+00,      7.7933E+02,      2.1667E+01,      1.0720E+02,      1.4039E+03,      6.4667E+01       
