#run_ID,         bf thickness,    n_deaths,        n_detachments,   n_immigrations,  n_replications,  exit time        
0,               0,               2693,            9779,            3495,            9016,            4200             
1,               0,               2652,            9057,            3429,            8316,            4200             
2,               0,               2615,            9224,            3394,            8489,            4200             
3,               0,               2633,            9544,            3385,            8833,            4200             
4,               0,               2719,            8902,            3528,            8127,            4200             
5,               0,               2656,            8132,            3447,            7377,            4200             
6,               0,               2594,            7988,            3375,            7241,            4200             
7,               0,               2798,            8025,            3589,            7252,            4200             
8,               0,               2706,            8079,            3480,            7332,            4200             
9,               0,               2703,            9588,            3526,            8796,            4200             
10,              0,               2805,            7594,            3580,            6846,            4200             
11,              0,               2676,            6866,            3455,            6116,            4200             
12,              0,               2624,            8928,            3419,            8164,            4200             
13,              0,               2662,            6505,            3433,            5762,            4200             
14,              0,               2728,            9394,            3469,            8676,            4200             
15,              0,               2583,            8620,            3370,            7858,            4200             
16,              0,               2743,            9502,            3549,            8723,            4200             
17,              0,               2682,            8753,            3561,            7906,            4200             
18,              0,               2796,            7914,            3623,            7108,            4200             
19,              0,               2724,            8588,            3504,            7838,            4200             
20,              0,               2742,            8681,            3567,            7881,            4200             
21,              0,               2645,            9134,            3449,            8373,            4200             
22,              0,               2642,            7720,            3402,            6983,            4200             
23,              0,               2759,            4960,            3542,            4216,            4200             
24,              0,               2734,            8531,            3490,            7795,            4200             
25,              0,               2720,            5402,            3517,            4639,            4200             
26,              0,               2792,            10752,           3573,            10003,           4200             
27,              0,               2750,            5819,            3560,            5034,            4200             
28,              0,               2785,            7991,            3603,            7220,            4200             
29,              0,               2619,            8696,            3416,            7932,            4200             
30,              0,               2792,            7902,            3584,            7146,            4200             
31,              0,               2667,            10009,           3501,            9212,            4200             
32,              0,               2789,            8814,            3624,            8008,            4200             
33,              0,               2705,            8977,            3512,            8201,            4200             
34,              0,               2632,            6071,            3441,            5300,            4200             
35,              0,               2584,            10094,           3382,            9332,            4200             
36,              0,               2708,            8213,            3486,            7468,            4200             
37,              0,               2739,            6278,            3570,            5472,            4200             
38,              0,               2664,            7401,            3480,            6625,            4200             
39,              0,               2622,            6620,            3394,            5873,            4200             
40,              0,               2672,            8512,            3498,            7719,            4200             
41,              0,               2763,            8073,            3583,            7279,            4200             
42,              0,               2707,            8311,            3525,            7522,            4200             
43,              0,               2676,            9029,            3505,            8235,            4200             
44,              0,               2678,            7897,            3476,            7119,            4200             
45,              0,               2641,            5884,            3410,            5139,            4200             
46,              0,               2706,            8848,            3547,            8033,            4200             
47,              0,               2762,            8662,            3598,            7849,            4200             
48,              0,               2703,            6718,            3515,            5927,            4200             
49,              0,               2709,            8245,            3495,            7488,            4200             
50,              0,               2671,            6801,            3469,            6035,            4200             
51,              0,               2687,            6526,            3449,            5802,            4200             
52,              0,               2683,            9093,            3468,            8347,            4200             
53,              0,               2658,            9107,            3483,            8302,            4200             
54,              0,               2767,            7910,            3592,            7125,            4200             
55,              0,               2640,            8457,            3394,            7728,            4200             
56,              0,               2667,            7034,            3485,            6251,            4200             
57,              0,               2712,            6410,            3486,            5661,            4200             
58,              0,               2675,            7126,            3502,            6330,            4200             
59,              0,               2667,            6483,            3490,            5687,            4200             
60,              0,               2610,            7309,            3380,            6572,            4200             
61,              0,               2664,            7001,            3412,            6274,            4200             
62,              0,               2703,            7920,            3518,            7139,            4200             
63,              0,               2652,            8584,            3430,            7839,            4200             
64,              0,               2727,            8093,            3580,            7272,            4200             
65,              0,               2668,            7439,            3460,            6683,            4200             
66,              0,               2676,            10083,           3469,            9326,            4200             
67,              0,               2680,            8931,            3478,            8176,            4200             
68,              0,               2643,            7012,            3429,            6252,            4200             
69,              0,               2689,            6860,            3505,            6072,            4200             
70,              0,               2688,            8324,            3473,            7564,            4200             
71,              0,               2648,            8142,            3437,            7382,            4200             
72,              0,               2667,            7405,            3442,            6668,            4200             
73,              0,               2704,            8739,            3549,            7921,            4200             
74,              0,               2766,            5844,            3588,            5046,            4200             
75,              0,               2552,            8088,            3350,            7325,            4200             
76,              0,               2671,            7134,            3481,            6358,            4200             
77,              0,               2725,            7592,            3540,            6810,            4200             
78,              0,               2611,            8061,            3385,            7311,            4200             
79,              0,               2781,            8732,            3541,            7997,            4200             
80,              0,               2724,            8468,            3514,            7712,            4200             
81,              0,               2639,            7792,            3453,            7018,            4200             
82,              0,               2653,            8191,            3500,            7378,            4200             
83,              0,               2743,            10394,           3628,            9539,            4200             
84,              0,               2709,            8220,            3475,            7487,            4200             
85,              0,               2558,            7403,            3336,            6654,            4200             
86,              0,               2644,            8136,            3428,            7383,            4200             
87,              0,               2691,            9715,            3506,            8937,            4200             
88,              0,               2760,            9092,            3612,            8281,            4200             
89,              0,               2750,            7861,            3551,            7088,            4200             
90,              0,               2650,            8378,            3447,            7608,            4200             
91,              0,               2682,            5236,            3495,            4435,            4200             
92,              0,               2611,            10491,           3411,            9724,            4200             
93,              0,               2713,            9971,            3504,            9213,            4200             
94,              0,               2696,            2886,            3530,            2091,            4200             
95,              0,               2719,            10354,           3550,            9558,            4200             
96,              0,               2700,            7496,            3477,            6736,            4200             
97,              0,               2699,            9033,            3497,            8275,            4200             
98,              0,               2707,            8756,            3542,            7950,            4200             
99,              0,               2813,            7326,            3595,            6582,            4200             
