#run_ID,         bf thickness,    n_deaths,        n_detachments,   n_immigrations,  n_replications,  exit time        
0,               0,               2762,            856,             3562,            54,              4200             
1,               0,               2789,            807,             3560,            37,              4200             
2,               0,               2727,            2089,            3466,            1366,            4200             
3,               0,               2754,            818,             3523,            54,              4200             
4,               0,               2790,            768,             3508,            47,              4200             
5,               0,               2645,            843,             3414,            73,              4200             
6,               0,               2720,            915,             3459,            178,             4200             
7,               0,               2809,            865,             3482,            191,             4200             
8,               0,               2736,            935,             3529,            138,             4200             
9,               0,               2888,            843,             3628,            103,             4200             
10,              0,               2770,            923,             3510,            180,             4200             
11,              0,               2769,            857,             3504,            120,             4200             
12,              0,               2837,            809,             3572,            75,              4200             
13,              0,               2727,            773,             3459,            38,              4200             
14,              0,               2838,            952,             3584,            204,             4200             
15,              0,               2747,            961,             3515,            193,             4200             
16,              0,               2748,            738,             3468,            15,              4200             
17,              0,               2804,            885,             3531,            155,             4200             
18,              0,               2860,            1003,            3610,            249,             4200             
19,              0,               2702,            714,             3389,            25,              4200             
20,              0,               2868,            831,             3592,            102,             4200             
21,              0,               2811,            895,             3581,            124,             4200             
22,              0,               2736,            1035,            3511,            258,             4200             
23,              0,               2694,            3939,            3415,            3245,            4200             
24,              0,               2728,            1020,            3478,            267,             4200             
25,              0,               2699,            841,             3429,            106,             4200             
26,              0,               2761,            805,             3455,            108,             4200             
27,              0,               2820,            825,             3584,            57,              4200             
28,              0,               2682,            2138,            3382,            1465,            4200             
29,              0,               2741,            792,             3504,            25,              4200             
30,              0,               2674,            758,             3394,            33,              4200             
31,              0,               2750,            751,             3474,            24,              4200             
32,              0,               2699,            3207,            3483,            2432,            4200             
33,              0,               2748,            922,             3484,            183,             4200             
34,              0,               2800,            741,             3516,            22,              4200             
35,              0,               2829,            948,             3558,            216,             4200             
36,              0,               2879,            858,             3626,            108,             4200             
37,              0,               2754,            783,             3457,            77,              4200             
38,              0,               2911,            774,             3586,            99,              4200             
39,              0,               2732,            953,             3450,            232,             4200             
40,              0,               2844,            767,             3581,            26,              4200             
41,              0,               2678,            791,             3381,            89,              4200             
42,              0,               2774,            1763,            3517,            1025,            4200             
43,              0,               2757,            737,             3463,            27,              4200             
44,              0,               2745,            723,             3440,            28,              4200             
45,              0,               2805,            1889,            3524,            1181,            4200             
46,              0,               2745,            848,             3497,            91,              4200             
47,              0,               2749,            789,             3479,            57,              4200             
48,              0,               2838,            803,             3582,            55,              4200             
49,              0,               2774,            863,             3522,            114,             4200             
50,              0,               2767,            792,             3494,            63,              4200             
51,              0,               2679,            831,             3433,            74,              4200             
52,              0,               2757,            2454,            3527,            1703,            4200             
53,              0,               2717,            809,             3449,            74,              4200             
54,              0,               2595,            995,             3354,            237,             4200             
55,              0,               2637,            800,             3387,            46,              4200             
56,              0,               2711,            818,             3426,            103,             4200             
57,              0,               2750,            752,             3487,            12,              4200             
58,              0,               2718,            806,             3454,            67,              4200             
59,              0,               2739,            780,             3441,            73,              4200             
60,              0,               2775,            748,             3473,            50,              4200             
61,              0,               2740,            764,             3477,            33,              4200             
62,              0,               2812,            1103,            3516,            408,             4200             
63,              0,               2741,            820,             3470,            89,              4200             
64,              0,               2856,            1307,            3585,            580,             4200             
65,              0,               2773,            1009,            3509,            274,             4200             
66,              0,               2821,            738,             3512,            44,              4200             
67,              0,               2732,            783,             3474,            41,              4200             
68,              0,               2744,            790,             3474,            57,              4200             
69,              0,               2732,            798,             3464,            64,              4200             
70,              0,               2750,            898,             3500,            148,             4200             
71,              0,               2797,            804,             3535,            62,              4200             
72,              0,               2711,            865,             3458,            116,             4200             
73,              0,               2823,            760,             3552,            29,              4200             
74,              0,               2753,            951,             3521,            181,             4200             
75,              0,               2753,            728,             3444,            35,              4200             
76,              0,               2762,            833,             3519,            75,              4200             
77,              0,               2793,            1846,            3510,            1132,            4200             
78,              0,               2784,            811,             3550,            42,              4200             
79,              0,               2781,            1085,            3623,            241,             4200             
80,              0,               2731,            810,             3494,            44,              4200             
81,              0,               2676,            893,             3405,            161,             4200             
82,              0,               2737,            934,             3487,            183,             4200             
83,              0,               2796,            864,             3549,            107,             4200             
84,              0,               2842,            747,             3519,            68,              4200             
85,              0,               2710,            2372,            3489,            1615,            4200             
86,              0,               2706,            865,             3443,            123,             4200             
